Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.6904646754264832,0.7862677574157715,0.826086163520813,0.9141647815704346
1,0.7928556799888611,0.797018826007843,0.9216856956481934,0.9241765737533569
2,0.8116510510444641,0.8121892809867859,0.9279384016990662,0.9314624667167664
3,0.8140098452568054,0.8085366487503052,0.9297441840171814,0.9255332350730896
4,0.8169918060302734,0.8137753009796143,0.9258279800415039,0.920860230922699
5,0.8176636099815369,0.8171281218528748,0.9337074756622314,0.9278697371482849
6,0.8238039612770081,0.8287847638130188,0.9333683252334595,0.9521267414093018
7,0.8218528032302856,0.8110891580581665,0.9312013983726501,0.9320654273033142
8,0.8190305233001709,0.8235844373703003,0.930607795715332,0.9252569079399109
9,0.8184255957603455,0.8139290809631348,0.9254699945449829,0.925369918346405
10,0.8179929256439209,0.8338909149169922,0.9248607158660889,0.925369918346405
11,0.8220958113670349,0.8291677832603455,0.9282556176185608,0.9275305867195129
12,0.8336015939712524,0.8348495364189148,0.9417659640312195,0.9544757604598999
13,0.82169109582901,0.8137374520301819,0.933735728263855,0.9246916174888611
14,0.8161160349845886,0.8199734687805176,0.9241007566452026,0.9252066612243652
15,0.8259787559509277,0.835044801235199,0.9296468496322632,0.9550662040710449
16,0.818423330783844,0.8090193271636963,0.9362167119979858,0.9254201650619507
17,0.8082446455955505,0.8086861371994019,0.92452472448349,0.9251312613487244
18,0.807512104511261,0.8070045709609985,0.9241918325424194,0.9251061677932739
19,0.8076346516609192,0.8066549301147461,0.9242671728134155,0.9251061677932739
20,0.8141488432884216,0.8205080032348633,0.9246785640716553,0.9253950715065002
21,0.8320494294166565,0.8278095722198486,0.9307585954666138,0.9255834817886353
22,0.8290070295333862,0.8339412808418274,0.937626838684082,0.9258096218109131
23,0.8109402656555176,0.8044909834861755,0.9274767637252808,0.9254578948020935
24,0.8108688592910767,0.8197857141494751,0.9250774383544922,0.9262744188308716
