Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.7778705358505249,0.8145472407341003,0.9031725525856018,0.9258975386619568
1,0.8028425574302673,0.8052683472633362,0.9223074913024902,0.9250935912132263
2,0.8051242828369141,0.7949455380439758,0.9250742793083191,0.9246790409088135
3,0.80314040184021,0.798613965511322,0.924238920211792,0.9244529008865356
4,0.8018966317176819,0.8006126880645752,0.9245560765266418,0.924842357635498
5,0.8020874261856079,0.7857502698898315,0.9256175756454468,0.9223425388336182
6,0.7990566492080688,0.7799709439277649,0.9241886734962463,0.9244278073310852
7,0.8001303672790527,0.7795166969299316,0.9237112998962402,0.9248926043510437
8,0.7934115529060364,0.7949240207672119,0.9218427538871765,0.9244906306266785
9,0.7961742877960205,0.7819024920463562,0.9234632253646851,0.9254201650619507
10,0.7930256128311157,0.7875651121139526,0.92171710729599,0.9257091283798218
11,0.801893949508667,0.7911878228187561,0.9259190559387207,0.9258472919464111
12,0.8020041584968567,0.7877647876739502,0.9254480004310608,0.9261487722396851
13,0.8002922534942627,0.7812768220901489,0.9247633814811707,0.9253950715065002
14,0.7938339114189148,0.7826254963874817,0.9218458533287048,0.9262115955352783
15,0.7942844033241272,0.7809854745864868,0.9221661686897278,0.9263371825218201
16,0.7894584536552429,0.7810686230659485,0.921261727809906,0.9258096218109131
17,0.7888842821121216,0.7990936636924744,0.9206461906433105,0.9262366890907288
18,0.7916370630264282,0.7798548936843872,0.9205425381660461,0.925922691822052
19,0.7934427857398987,0.782399594783783,0.9232528209686279,0.926261842250824
20,0.7871370911598206,0.7820630669593811,0.9193240404129028,0.9263246655464172
21,0.7905716300010681,0.7811045050621033,0.9230643510818481,0.9262492656707764
22,0.7966880798339844,0.7822538018226624,0.9249455332756042,0.9265507459640503
23,0.7894585728645325,0.7808246612548828,0.9205268621444702,0.9262744188308716
24,0.7868126034736633,0.7822250127792358,0.920975923538208,0.9254578948020935
