Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.7824206948280334,0.8190165758132935,0.902283787727356,0.9268773794174194
1,0.8265992403030396,0.8250429034233093,0.934476912021637,0.9277064800262451
2,0.8198170065879822,0.8102605938911438,0.9305481314659119,0.9273044466972351
3,0.8282492160797119,0.8163142204284668,0.9398942589759827,0.9281209707260132
4,0.8322229981422424,0.8208721280097961,0.9459302425384521,0.9334095120429993
5,0.8313465118408203,0.8236808180809021,0.9458171725273132,0.9350802898406982
6,0.8313961625099182,0.8228467106819153,0.9393980503082275,0.9359721541404724
7,0.8249041438102722,0.8142470717430115,0.9406228065490723,0.9277567267417908
8,0.825032651424408,0.8159278035163879,0.9399884343147278,0.9292892217636108
9,0.8262161016464233,0.813346803188324,0.9424757361412048,0.9278572201728821
10,0.8088648319244385,0.8101333975791931,0.930077075958252,0.9276185035705566
11,0.812511682510376,0.8094803690910339,0.9333180785179138,0.9351556301116943
12,0.8036006689071655,0.8103645443916321,0.9249455332756042,0.9280833005905151
13,0.8059084415435791,0.8088332414627075,0.926474928855896,0.9278194904327393
14,0.8075119853019714,0.8129739761352539,0.9263305068016052,0.9353691935539246
15,0.8055819272994995,0.819483757019043,0.925642728805542,0.9355325102806091
16,0.8093674182891846,0.8233003616333008,0.9290313124656677,0.9357837438583374
17,0.8124548196792603,0.8197548985481262,0.9282901287078857,0.935796320438385
18,0.7998968362808228,0.8029378056526184,0.9225242137908936,0.9281209707260132
19,0.80900639295578,0.8067511916160583,0.9257808923721313,0.9281837940216064
20,0.8053471446037292,0.8050636649131775,0.9279635548591614,0.928347110748291
21,0.8161076903343201,0.803841233253479,0.9277814030647278,0.9282842874526978
22,0.8179934024810791,0.8147229552268982,0.9304162263870239,0.9285229444503784
23,0.8080887794494629,0.8028289675712585,0.9231460094451904,0.9285857677459717
24,0.8086934685707092,0.7863588333129883,0.9259222149848938,0.9270909428596497
