Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
0,0.6913070678710938,0.727907121181488,0.7133435010910034,0.8693270087242126,0.7333900332450867,0.6907232403755188,0.7784475684165955
1,0.7570465803146362,0.7809392809867859,0.9466091990470886,0.9701221585273743,0.7954118251800537,0.5401450395584106,0.8176349401473999
2,0.8034467101097107,0.8149965405464172,0.9749019145965576,0.9774062633514404,0.8220465779304504,0.3637886047363281,0.845497727394104
3,0.8295031785964966,0.8309231996536255,0.9811214804649353,0.9824308753013611,0.8344250321388245,0.2923695147037506,0.8586865067481995
