Damage level s [%];Damage depth d [mm];Distance D [mm];Freq 1    f1 [Hz];Freq 2    f2 [Hz];Freq 3    f3 [Hz];Freq 4    f4 [Hz];Freq 5    f5 [Hz];Freq 6    f6 [Hz];Freq 7    f7 [Hz];Freq 8    f8 [Hz];Freq 9    f9 [Hz];Freq 10    f10 [Hz]
25;1,25;214;4,06915134;25,63003148;71,63757115;140,0980975;231,9419018;347,3837053;485,0665173;644,2442608;827,282792;1036,262656
25;1,25;217;4,06938627;25,63024488;71,63015752;140,0958136;231,9803789;347,4142527;484,9596259;644,090285;827,4269258;1036,65035
25;1,25;226;4,07009915;25,63035139;71,60735916;140,0942697;232,097643;347,4570825;484,5891403;643,7727552;828,0600189;1037,618117
25;1,25;228;4,07025448;25,6302417;71,60235041;140,0958538;232,1241831;347,457387;484,5018103;643,7333703;828,2315973;1037,773022
25;1,25;235;4,07079077;25,62975025;71,58535022;140,1062515;232,2144565;347,4295303;484,1905247;643,6945097;828,8913717;1038,097613
25;1,25;237;4,07094458;25,62950258;71,58056506;140,1104;232,2394748;347,4138085;484,1037729;643,712253;829,085813;1038,119851
25;1,25;239;4,07109545;25,6292805;71,57585552;140,1151514;232,2638663;347,3944156;484,0182663;643,7416246;829,2779722;1038,109308
25;1,25;246;4,07162548;25,62815112;71,56002921;140,1349476;232,3439983;347,3000682;483,7422169;643,9404849;829,907066;1037,819441
25;1,25;254;4,0722197;25,62645825;71,54320868;140,1658006;232,4212279;347,1472986;483,4909596;644,3141107;830,4668404;1037,059492
25;1,25;262;4,07280306;25,62423484;71,5279645;140,2034561;232,4795789;346,9587888;483,3357956;644,8015987;830,7616741;1036,020526
25;1,25;265;4,07301771;25,62330137;71,52279598;140,2193641;232,49541;346,8825166;483,3061968;644,9990279;830,7920052;1035,607358
25;1,25;269;4,07330405;25,62199464;71,51623316;140,241123;232,5117738;346,776157;483,2908413;645,2661347;830,7549726;1035,069221
25;1,25;277;4,07386882;25,61909808;71,50493486;140,2878278;232,5259829;346,560839;483,3454494;645,7792673;830,4398968;1034,157803
25;1,25;279;4,07400777;25,61832532;71,50243277;140,299957;232,5254252;346,5071088;483,3751733;645,8960916;830,3141538;1033,98365
25;1,25;283;4,07428536;25,61669102;71,49785119;140,3242611;232,5193417;346,4032156;483,4551899;646,1088531;830,0168953;1033,719019
25;1,25;289;4,0746951;25,61408668;71,4919238;140,3617445;232,4979285;346,2580591;483,6205104;646,3636;829,4851812;1033,539935
25;1,25;291;4,07483056;25,61316121;71,49047851;140,3740373;232,4880312;346,2136792;483,6858884;646,4286358;829,2921138;1033,55181
25;1,25;297;4,07523523;25,61025706;71,48665936;140,4114654;232,4487871;346,0934582;483,9062232;646,5524902;828,7015508;1033,767393
25;1,25;301;4,07550076;25,60831254;71,48488898;140,4356114;232,4148216;346,02711;484,0690522;646,5739537;828,316692;1034,055652
25;1,25;310;4,07608737;25,60367925;71,48314396;140,4874521;232,3211325;345,9242916;484,4593618;646,4350761;827,5959741;1035,032073
25;1,25;318;4,07660086;25,59934131;71,48434166;140,5292521;232,2199186;345,8919857;484,7992958;646,1163009;827,217645;1036,094736
25;1,25;324;4,07697798;25,59596059;71,48692488;140,5567757;232,1360056;345,9069974;485,0265348;645,7816406;827,1358687;1036,866826
25;1,25;326;4,07710288;25,59474149;71,48801683;140,5654101;232,1070697;345,9196672;485,0953444;645,6570779;827,1488023;1037,101463
25;1,25;333;4,07753408;25,59056411;71,49331045;140,5913381;232,0033479;345,9913916;485,2955204;645,1899076;827,3585426;1037,760129
25;1,25;342;4,07807675;25,58514919;71,50248284;140,6156347;231,8716156;346,1385541;485,4406724;644,5905678;827,9320328;1038,117938
25;1,25;346;4,07831282;25,58277396;71,5076006;140,6228022;231,8151601;346,2214722;485,4588975;644,3502971;828,2713465;1038,071767
25;1,25;351;4,07860811;25,57953015;71,51455582;140,6288961;231,747704;346,3371081;485,4443789;644,0931401;828,7389594;1037,831006
25;1,25;356;4,07889549;25,57657768;71,52224466;140,6307067;231,6851339;346,4612524;485,3838474;643,895413;829,219871;1037,415036
25;1,25;358;4,07900979;25,57530195;71,52548785;140,6303407;231,6617718;346,5133828;485,3473102;643,8336101;829,4089255;1037,203699
25;1,25;368;4,0795705;25,56903256;71,54334409;140,6210326;231,5628971;346,7805753;485,0759113;643,7130192;830,2448855;1035,925369
25;1,25;370;4,07968389;25,56779074;71,54718669;140,6171902;231,5468775;346,8333087;485,0051167;643,7256134;830,3763491;1035,654521
25;1,25;376;4,08001398;25,56400373;71,5592478;140,6025658;231,5080826;346,9865969;484,7725615;643,8400051;830,66934;1034,868184
