Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
0,0.37400421500205994,0.38588449358940125,0.33541664481163025,0.33412837982177734,0.03672283887863159,0.9895591139793396,0.002874583238735795
1,0.4083433151245117,0.44493910670280457,0.3583333194255829,0.39303648471832275,0.11428504437208176,0.9884520173072815,0.0029016511980444193
2,0.4619501531124115,0.47487157583236694,0.48750001192092896,0.4998249113559723,0.14723989367485046,0.9872308969497681,0.002926279790699482
3,0.4776931703090668,0.4841372072696686,0.5041666030883789,0.5134926438331604,0.1590244621038437,0.9860721826553345,0.0029301217291504145
4,0.4933094382286072,0.4972616136074066,0.5187499523162842,0.5272934436798096,0.1763008087873459,0.9849118590354919,0.002931983908638358
5,0.5154582858085632,0.5118481516838074,0.5375000238418579,0.5437301993370056,0.19507132470607758,0.9837965965270996,0.002930705202743411
6,0.5272421836853027,0.5254250168800354,0.5541666746139526,0.5604724287986755,0.2126479595899582,0.9828640818595886,0.0029225442558526993
7,0.5338190793991089,0.5400582551956177,0.5666666030883789,0.5725905299186707,0.23212996125221252,0.9822732210159302,0.002895412966609001
8,0.5735913515090942,0.5673815011978149,0.5854166150093079,0.5920370221138,0.26905563473701477,0.9819687008857727,0.0028488640673458576
9,0.6304569244384766,0.8300801515579224,0.6229166388511658,0.6599728465080261,0.6831821203231812,0.981736421585083,0.002808267716318369
10,0.9611119031906128,0.9495443105697632,0.6666666269302368,0.665703296661377,0.9148920178413391,0.981565535068512,0.0027902182191610336
11,0.9745582342147827,0.9540104866027832,0.6666666269302368,0.6662305593490601,0.9233502745628357,0.981719970703125,0.0030254509765654802
12,0.9803599119186401,0.957680881023407,0.6666666269302368,0.6671570539474487,0.9293515086174011,0.9821189045906067,0.0034141044598072767
13,0.9853501319885254,0.9608906507492065,0.6666666269302368,0.6686729192733765,0.9342674016952515,0.9826207160949707,0.00469361525028944
14,0.9891514778137207,0.9636492729187012,0.6708332896232605,0.6748951077461243,0.9385448694229126,0.9831128716468811,0.010517538525164127
