Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.5096144080162048,0.5112183094024658,0.5815421342849731,0.5865727663040161
1,0.44363275170326233,0.4049699604511261,0.50726318359375,0.46321263909339905
2,0.3959701955318451,0.37980619072914124,0.45012107491493225,0.4330149292945862
3,0.3800998330116272,0.38189929723739624,0.4299473762512207,0.4352215826511383
4,0.3885325491428375,0.38773003220558167,0.4399263262748718,0.44190195202827454
5,0.3813568949699402,0.3841927647590637,0.4299631714820862,0.4333172142505646
6,0.4443952739238739,0.4702586233615875,0.4812473952770233,0.505954921245575
7,0.47728344798088074,0.47888481616973877,0.5104368329048157,0.5132095813751221
8,0.48402872681617737,0.4854528605937958,0.5160526633262634,0.518499493598938
9,0.49498826265335083,0.4995514154434204,0.5250000357627869,0.5302581191062927
10,0.5055704712867737,0.5076583027839661,0.5339632034301758,0.5370292067527771
11,0.5163056254386902,0.5509105920791626,0.5415579080581665,0.5730608701705933
12,0.6132726073265076,0.6341621279716492,0.6243579387664795,0.6432501077651978
13,0.6521701216697693,0.6721451878547668,0.6571894884109497,0.6755637526512146
14,0.707914412021637,0.6970169544219971,0.7025473713874817,0.6857807636260986
15,0.6412269473075867,0.6450948715209961,0.6184263229370117,0.6155915856361389
16,0.6593073010444641,0.6587265729904175,0.6298894882202148,0.628801167011261
17,0.6902854442596436,0.6966670751571655,0.6589000225067139,0.6634121537208557
18,0.6935298442840576,0.6837571859359741,0.6601263284683228,0.6476633548736572
19,0.6906152367591858,0.6844007968902588,0.6561000347137451,0.6481470465660095
20,0.6909386515617371,0.6845308542251587,0.6563684344291687,0.6482074856758118
21,0.6909850239753723,0.6847912669181824,0.6563579440116882,0.6484493017196655
22,0.6909436583518982,0.6842350959777832,0.6562421321868896,0.6477238535881042
23,0.6905477046966553,0.6836544275283813,0.6557894945144653,0.646937906742096
24,0.6895267367362976,0.683535099029541,0.6545421481132507,0.6466658711433411
25,0.6891093254089355,0.6829913854598999,0.6539947390556335,0.6459101438522339
26,0.6887611150741577,0.6827735900878906,0.653536856174469,0.645638108253479
27,0.6887702345848083,0.682852029800415,0.6535474061965942,0.6457590460777283
28,0.6888507008552551,0.6828930377960205,0.6536473631858826,0.6457288265228271
29,0.6887198686599731,0.682948112487793,0.6534105539321899,0.6456078886985779
30,0.688675045967102,0.6829773187637329,0.6533000469207764,0.6455172300338745
31,0.6886504888534546,0.683026909828186,0.6532579064369202,0.6456078886985779
32,0.6886809468269348,0.6830637454986572,0.6532947421073914,0.645638108253479
33,0.6887544989585876,0.6829420328140259,0.6533737182617188,0.645638108253479
34,0.6891477704048157,0.6833279728889465,0.653852641582489,0.6460915207862854
35,0.6893250346183777,0.6833692789077759,0.6540631651878357,0.6461217403411865
36,0.6892510056495667,0.6833360195159912,0.6539789438247681,0.6460915207862854
37,0.6892455816268921,0.6834462881088257,0.6539632081985474,0.6461519598960876
38,0.6892765164375305,0.6836339831352234,0.6539736986160278,0.6462728977203369
39,0.6892945170402527,0.6836401224136353,0.6539842486381531,0.6462426781654358
40,0.689272403717041,0.6836758852005005,0.6539316177368164,0.6462426781654358
41,0.6893917918205261,0.6841589212417603,0.6539684534072876,0.6466054320335388
42,0.6900261044502258,0.6843745708465576,0.6545105576515198,0.6467867493629456
43,0.6901829838752747,0.6844195127487183,0.6546474099159241,0.6468170285224915
44,0.6901788115501404,0.684502124786377,0.6546316146850586,0.6468774676322937
45,0.6901889443397522,0.6845741271972656,0.6546316146850586,0.6469681262969971
