Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.19775454699993134,0.1767500936985016,0.3408263325691223,0.2926667034626007
1,0.17099373042583466,0.19039680063724518,0.28245264291763306,0.30986639857292175
2,0.18495699763298035,0.18572846055030823,0.2896210551261902,0.2860165536403656
3,0.19282175600528717,0.1956188976764679,0.29660525918006897,0.3008282482624054
4,0.1975487321615219,0.19711175560951233,0.3035421073436737,0.303004652261734
5,0.2745061218738556,0.30447667837142944,0.4420526325702667,0.49268484115600586
6,0.31753724813461304,0.32259780168533325,0.5107789635658264,0.5141769051551819
7,0.38922831416130066,0.41279327869415283,0.5920736789703369,0.6209418773651123
8,0.38386228680610657,0.36537232995033264,0.5917631983757019,0.5718820095062256
9,0.37645068764686584,0.4117569327354431,0.5856474041938782,0.620579183101654
10,0.42334550619125366,0.42039430141448975,0.6324789524078369,0.6284081935882568
11,0.4262070059776306,0.42459291219711304,0.6340000033378601,0.6295871138572693
12,0.42976248264312744,0.42578795552253723,0.6357684135437012,0.631068229675293
13,0.4296712279319763,0.4266849458217621,0.6360947489738464,0.6319448947906494
14,0.4308626353740692,0.4265005886554718,0.6369894742965698,0.6316123604774475
15,0.4309168756008148,0.4285244345664978,0.6369947791099548,0.6343328952789307
16,0.44635406136512756,0.4416089653968811,0.6573473811149597,0.651593029499054
17,0.4468987286090851,0.44181180000305176,0.6580000519752502,0.6516232490539551
18,0.44702062010765076,0.44178465008735657,0.6580421328544617,0.6514720916748047
19,0.4469095468521118,0.4417850077152252,0.6578684449195862,0.6514720916748047
20,0.44636255502700806,0.44009217619895935,0.6573315858840942,0.6497793197631836
21,0.44450926780700684,0.43961650133132935,0.6553894877433777,0.6490236520767212
22,0.44345444440841675,0.43415191769599915,0.6536526679992676,0.6428873538970947
23,0.43266889452934265,0.42913901805877686,0.6415421366691589,0.637053370475769
24,0.43323129415512085,0.42998984456062317,0.6421631574630737,0.6375975012779236
25,0.43798571825027466,0.42343777418136597,0.6462000012397766,0.6263829469680786
