Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
0,0.8825944066047668,0.9499313235282898,0.6421196460723877,0.6614083647727966,0.7806348204612732,0.09310595691204071,0.8640549778938293
1,0.9574154019355774,0.9625694751739502,0.6648114323616028,0.6651084423065186,0.7698451280593872,0.07971955090761185,0.8770418167114258
2,0.9650850892066956,0.9664854407310486,0.6653844714164734,0.6656073331832886,0.7831434011459351,0.07775990664958954,0.8792247176170349
3,0.9681209325790405,0.9679842591285706,0.6657537221908569,0.665836751461029,0.7999257445335388,0.07805176824331284,0.8823400735855103
4,0.9700412750244141,0.9699063301086426,0.6659328937530518,0.6660944223403931,0.812589704990387,0.07722673565149307,0.8844044804573059
5,0.9713967442512512,0.9708828926086426,0.6660312414169312,0.6657775640487671,0.8124623894691467,0.07642282545566559,0.8828271627426147
