Epoch,train_sat,test_sat,train_accuracy,test_accuracy
0,0.9199793934822083,0.936562716960907,0.19141414761543274,0.14640706777572632
1,0.9442386627197266,0.9614447355270386,0.13070929050445557,0.08605840802192688
2,0.954168975353241,0.9704838991165161,0.10658915340900421,0.06512319296598434
3,0.9594975709915161,0.9570854306221008,0.09464175254106522,0.0932445228099823
4,0.9648416042327881,0.9767224192619324,0.08228598535060883,0.05260741710662842
5,0.967093288898468,0.9456680417060852,0.07627689093351364,0.12222661823034286
6,0.9685267210006714,0.9684075117111206,0.07266420871019363,0.06967543810606003
7,0.9687796235084534,0.9574417471885681,0.07341496646404266,0.10041596740484238
8,0.9707605242729187,0.9769901037216187,0.06800862401723862,0.04869866371154785
9,0.9725199937820435,0.9453322291374207,0.06418129801750183,0.12818743288516998
10,0.9725306034088135,0.9745957851409912,0.0646330714225769,0.05356105417013168
11,0.9743442535400391,0.9718133211135864,0.059972040355205536,0.061011213809251785
12,0.974666953086853,0.9709416627883911,0.05949486792087555,0.0622856542468071
13,0.976053774356842,0.9569721817970276,0.05610986799001694,0.09368809312582016
14,0.9760183095932007,0.9398198127746582,0.057056915014982224,0.1387057900428772
15,0.9771583080291748,0.9839071035385132,0.05386637896299362,0.03393169492483139
16,0.9763282537460327,0.9597226977348328,0.055473677814006805,0.09146593511104584
17,0.9778857827186584,0.9800817370414734,0.05113712325692177,0.04422784596681595
18,0.9781374335289001,0.974521279335022,0.05119611695408821,0.0540834479033947
19,0.9798429012298584,0.9912909865379333,0.04662651941180229,0.018672924488782883
