Epoch,train_sat,test_sat,train_accuracy,test_accuracy
0,0.8755379319190979,0.8841290473937988,0.3032810389995575,0.27209964394569397
1,0.8927428126335144,0.9000926613807678,0.25043827295303345,0.23188243806362152
2,0.9037829637527466,0.9043787717819214,0.22362011671066284,0.2232678383588791
3,0.9053416848182678,0.9047103524208069,0.22099542617797852,0.22305817902088165
4,0.905542254447937,0.9048528671264648,0.22072379291057587,0.22275201976299286
5,0.9056456685066223,0.904959499835968,0.22050544619560242,0.22248351573944092
6,0.9057378768920898,0.9050619602203369,0.22028551995754242,0.22221726179122925
7,0.9058368802070618,0.9051715135574341,0.22003471851348877,0.22192825376987457
8,0.90594881772995,0.9052942395210266,0.21974070370197296,0.22160129249095917
9,0.906078577041626,0.9054337739944458,0.21939551830291748,0.22122536599636078
10,0.9062277674674988,0.9055952429771423,0.21899092197418213,0.220788836479187
11,0.9063989520072937,0.9057704210281372,0.21852707862854004,0.22031152248382568
12,0.9065774083137512,0.9059534072875977,0.21803703904151917,0.21980589628219604
13,0.9067749977111816,0.906164824962616,0.21748600900173187,0.21921133995056152
14,0.9070082306861877,0.9064193367958069,0.21682359278202057,0.21848684549331665
15,0.9072939157485962,0.906737208366394,0.21600201725959778,0.21757708489894867
16,0.9076569080352783,0.9071444272994995,0.214956596493721,0.21641145646572113
17,0.9081189036369324,0.9076544642448425,0.2136247605085373,0.21495479345321655
18,0.9086903929710388,0.9082815647125244,0.2119901329278946,0.21317607164382935
19,0.9094133973121643,0.9090936779975891,0.20994360744953156,0.21090067923069
20,0.9103621244430542,0.9101669788360596,0.20731090009212494,0.20796014368534088
21,0.9116090536117554,0.9115652441978455,0.2039605677127838,0.20424939692020416
22,0.9131823778152466,0.9132744669914246,0.1999020278453827,0.19986853003501892
23,0.914962112903595,0.9150904417037964,0.19546037912368774,0.1953068971633911
24,0.9166728258132935,0.9167587757110596,0.19124984741210938,0.1911558210849762
25,0.9181593656539917,0.9182146191596985,0.1876613199710846,0.18760719895362854
26,0.9194490313529968,0.91949462890625,0.18464145064353943,0.1845637708902359
27,0.920610785484314,0.9206536412239075,0.18198011815547943,0.18185478448867798
28,0.9216941595077515,0.9217315316200256,0.17951273918151855,0.17935022711753845
29,0.9227292537689209,0.9227601289749146,0.17713630199432373,0.17695073783397675
30,0.9237415194511414,0.9237747192382812,0.17477446794509888,0.17456571757793427
31,0.9247655868530273,0.9248189926147461,0.1723472625017166,0.1720946580171585
32,0.9258426427841187,0.9259405136108398,0.1697615385055542,0.1694314181804657
33,0.9270173907279968,0.9271736145019531,0.1669313758611679,0.16650253534317017
34,0.9283077716827393,0.9285038709640503,0.16383282840251923,0.16334451735019684
35,0.9296736717224121,0.9298389554023743,0.1605798602104187,0.16015982627868652
36,0.9310025572776794,0.9310553669929504,0.1574244499206543,0.15722352266311646
37,0.9321907758712769,0.9321015477180481,0.1545945256948471,0.15466433763504028
38,0.933214545249939,0.9330132603645325,0.15213610231876373,0.1524224728345871
39,0.9341183304786682,0.9338480830192566,0.14995399117469788,0.150376096367836
40,0.9349561333656311,0.9346509575843811,0.14793173968791962,0.14842438697814941
41,0.9357680678367615,0.9354469776153564,0.14598135650157928,0.14650633931159973
42,0.9365769624710083,0.9362483620643616,0.1440485417842865,0.1445930302143097
43,0.93739253282547,0.9370504021644592,0.14211100339889526,0.1426898092031479
44,0.9382085204124451,0.937839925289154,0.1401778757572174,0.14082258939743042
45,0.9390156865119934,0.9386090040206909,0.1382695734500885,0.1390085518360138
46,0.9398103952407837,0.9393611550331116,0.1363939344882965,0.1372402459383011
47,0.9405916929244995,0.9400961399078369,0.13455143570899963,0.135517880320549
48,0.941359281539917,0.940811812877655,0.13274618983268738,0.13384248316287994
49,0.9421092867851257,0.9415079951286316,0.1309821903705597,0.1322135329246521
50,0.9428410530090332,0.9421833753585815,0.1292596012353897,0.13063043355941772
51,0.9435574412345886,0.9428438544273376,0.12757450342178345,0.129079207777977
52,0.9442620873451233,0.9434955716133118,0.1259170025587082,0.12754474580287933
53,0.9449575543403625,0.9441409707069397,0.12427878379821777,0.1260194629430771
54,0.9456456303596497,0.944782555103302,0.12265732884407043,0.12449697405099869
55,0.9463263750076294,0.9454181790351868,0.12105248123407364,0.1229829415678978
56,0.9469984769821167,0.9460493922233582,0.11946626752614975,0.12147451937198639
57,0.9476609826087952,0.9466717839241028,0.11790356040000916,0.11998114734888077
58,0.9483116865158081,0.9472827911376953,0.11636891216039658,0.11851231753826141
59,0.9489468336105347,0.9478775858879089,0.1148691400885582,0.11707789450883865
60,0.9495618939399719,0.9484503865242004,0.11341632157564163,0.11569299548864365
61,0.9501560926437378,0.9490068554878235,0.11200941354036331,0.11434803158044815
62,0.9507349133491516,0.9495487213134766,0.11064007878303528,0.1130378320813179
63,0.9513035416603088,0.9500786662101746,0.10929856449365616,0.11175733804702759
64,0.9518566131591797,0.950590968132019,0.10799406468868256,0.1105206310749054
65,0.9523910284042358,0.9510860443115234,0.10673034936189651,0.10932410508394241
66,0.9529116749763489,0.9515669941902161,0.10550250113010406,0.10816121846437454
67,0.953418493270874,0.9520383477210999,0.1043052151799202,0.10702335089445114
68,0.9539160132408142,0.9525021314620972,0.10313241183757782,0.10590638220310211
69,0.9544067978858948,0.9529601335525513,0.1019774079322815,0.10480756312608719
70,0.954889178276062,0.9534004926681519,0.10084665566682816,0.10375276952981949
71,0.9553541541099548,0.9538224339485168,0.09975314885377884,0.10274359583854675
72,0.9558035731315613,0.9542264938354492,0.09869691729545593,0.10177706182003021
73,0.9562373161315918,0.9546167850494385,0.09767640382051468,0.10084442794322968
74,0.9566564559936523,0.954993486404419,0.09668927639722824,0.09994581341743469
75,0.9570621848106384,0.9553561806678772,0.09573348611593246,0.09907931089401245
76,0.9574551582336426,0.9557082056999207,0.0948067158460617,0.09823979437351227
77,0.9578374624252319,0.9560502171516418,0.09390691667795181,0.09742480516433716
78,0.9582077264785767,0.9563809633255005,0.09303204715251923,0.09663593769073486
79,0.9585686326026917,0.9567028880119324,0.0921800285577774,0.09586968272924423
80,0.9589203000068665,0.9570181965827942,0.09134981781244278,0.09511923044919968
