Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.6026470065116882,0.699084460735321,0.7611377239227295,0.8786649107933044
1,0.7161016464233398,0.7275786399841309,0.8972998261451721,0.9054594039916992
2,0.7280189394950867,0.7303129434585571,0.9059581160545349,0.9076576828956604
3,0.7300597429275513,0.7311186194419861,0.9074310064315796,0.9081224799156189
4,0.7306805849075317,0.7312645316123962,0.9077419638633728,0.9083737134933472
5,0.7314121127128601,0.7319108247756958,0.9082915186882019,0.9085496068000793
6,0.7318222522735596,0.7330875992774963,0.9084862470626831,0.909717857837677
7,0.751415491104126,0.745171308517456,0.9299671649932861,0.9381453394889832
