Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
0,0.6768736243247986,0.721645176410675,0.7756707668304443,0.9161950349807739,0.7052254676818848,0.596026599407196,0.7736865282058716
1,0.747485339641571,0.7655490040779114,0.9409180879592896,0.9691780209541321,0.7551797032356262,0.44814375042915344,0.8034750819206238
2,0.7863902449607849,0.7982733845710754,0.9734799265861511,0.9802275896072388,0.7986509203910828,0.3483433425426483,0.8340591192245483
3,0.8149929046630859,0.8213270902633667,0.9816766381263733,0.9848476052284241,0.8223265409469604,0.2847873270511627,0.8506910800933838
4,0.8329539895057678,0.8343706130981445,0.984627366065979,0.9876182675361633,0.832505464553833,0.2557971179485321,0.8593639731407166
5,0.843000590801239,0.8419792056083679,0.9866219162940979,0.9888662695884705,0.8417788743972778,0.23644082248210907,0.8641548156738281
6,0.8490588665008545,0.8464335203170776,0.9878727197647095,0.9897654056549072,0.851664125919342,0.21804054081439972,0.8677088618278503
7,0.8532701134681702,0.8504788875579834,0.989003598690033,0.9905353784561157,0.8585831522941589,0.20274178683757782,0.8705720901489258
8,0.856144368648529,0.852622926235199,0.989587128162384,0.9910075068473816,0.8623989224433899,0.1930355578660965,0.872399628162384
9,0.8583205342292786,0.8553455471992493,0.9900544285774231,0.9910637736320496,0.8651528358459473,0.19148162007331848,0.8736149072647095
10,0.8613918423652649,0.8574376702308655,0.9908908009529114,0.9913501739501953,0.8692634701728821,0.18325519561767578,0.8750761151313782
11,0.8635991215705872,0.8588857054710388,0.9913567304611206,0.9915075898170471,0.873090386390686,0.17930708825588226,0.8761473894119263
12,0.8655816316604614,0.859700620174408,0.9918417930603027,0.9918168187141418,0.8755120635032654,0.17542700469493866,0.877282440662384
13,0.8672629594802856,0.8609756231307983,0.9921182990074158,0.9918056130409241,0.8778209090232849,0.17236542701721191,0.8778446912765503
14,0.8689283728599548,0.8611592054367065,0.9923691749572754,0.9920304417610168,0.8791364431381226,0.1676422506570816,0.879179060459137
15,0.8703025579452515,0.8618893623352051,0.9925707578659058,0.9921708703041077,0.880717933177948,0.16442462801933289,0.8798226118087769
16,0.8716779351234436,0.8622037768363953,0.9927617907524109,0.9922495484352112,0.8828574419021606,0.1615479737520218,0.8805796504020691
17,0.8727260231971741,0.8618032336235046,0.9929490685462952,0.9922889471054077,0.884100079536438,0.15852126479148865,0.8814948201179504
18,0.8735076189041138,0.8626935482025146,0.993069052696228,0.9923675656318665,0.8858200311660767,0.1566978394985199,0.8817545771598816
19,0.8747087121009827,0.8626096844673157,0.9932581186294556,0.9924855828285217,0.887444257736206,0.15421761572360992,0.8826345801353455
20,0.8752619624137878,0.8613559007644653,0.9932944774627686,0.9927273988723755,0.8862096667289734,0.15160921216011047,0.8838710188865662
21,0.8758119940757751,0.8624274134635925,0.9933381080627441,0.9925024509429932,0.8897464871406555,0.15106552839279175,0.8834152817726135
22,0.8766908049583435,0.8626291751861572,0.9934654831886292,0.9926822781562805,0.8911552429199219,0.14945298433303833,0.8840412497520447
23,0.877488374710083,0.8627632260322571,0.9935765266418457,0.9928678870201111,0.8918249607086182,0.14766517281532288,0.8846678137779236
24,0.8782260417938232,0.8629550933837891,0.9936655759811401,0.9929409027099609,0.8922913670539856,0.14620345830917358,0.8852033019065857
25,0.8789935111999512,0.8626115918159485,0.9937726259231567,0.9930925965309143,0.8927529454231262,0.14450043439865112,0.8860350847244263
26,0.8794667720794678,0.8627951741218567,0.9938401579856873,0.9931151270866394,0.8935503363609314,0.14436206221580505,0.8860176205635071
27,0.8800951242446899,0.8625938892364502,0.9939238429069519,0.9932613372802734,0.893240749835968,0.14245964586734772,0.8867383003234863
28,0.8806769847869873,0.862008273601532,0.9939875602722168,0.9933456182479858,0.8937442898750305,0.14119084179401398,0.8873093724250793
29,0.8811644911766052,0.8614727258682251,0.9940528869628906,0.9934524297714233,0.8941547870635986,0.13995203375816345,0.887843132019043
30,0.8816757202148438,0.8612837195396423,0.9941418170928955,0.9935030341148376,0.894790530204773,0.13920076191425323,0.8881186842918396
31,0.8821607828140259,0.8609612584114075,0.9942164421081543,0.9935873746871948,0.8950801491737366,0.13816972076892853,0.8884819149971008
32,0.8826092481613159,0.860913097858429,0.9942817687988281,0.9936883449554443,0.8952993750572205,0.1380022019147873,0.8889217376708984
33,0.882975697517395,0.8611705899238586,0.994327187538147,0.9936209321022034,0.89582359790802,0.13758400082588196,0.8887969851493835
34,0.8835186958312988,0.8608756065368652,0.9943907856941223,0.9937108159065247,0.8961189389228821,0.13681070506572723,0.8893755078315735
35,0.8839006423950195,0.8599717617034912,0.9944490790367126,0.9937277436256409,0.8962463736534119,0.13625206053256989,0.8896165490150452
36,0.8842746615409851,0.8598594069480896,0.9945164322853088,0.9937727451324463,0.8961708545684814,0.1357325166463852,0.8897424340248108
37,0.8848482966423035,0.8596274852752686,0.9945691227912903,0.9938738346099854,0.8972852826118469,0.13560998439788818,0.8899722695350647
38,0.8852651119232178,0.8599813580513,0.9946545362472534,0.9939019680023193,0.897527813911438,0.13544709980487823,0.8903127312660217
39,0.8857601881027222,0.8598085045814514,0.9946762323379517,0.9939243793487549,0.8976526260375977,0.13557930290699005,0.8903549313545227
40,0.8838182687759399,0.8621455430984497,0.9946728348731995,0.9939188361167908,0.8974121809005737,0.13933482766151428,0.8901688456535339
41,0.8863048553466797,0.8607147932052612,0.9946764707565308,0.9939975738525391,0.8988409042358398,0.1391880214214325,0.8903647661209106
42,0.8873311281204224,0.8605672717094421,0.9947909712791443,0.9939919710159302,0.8999634981155396,0.13964654505252838,0.8905124664306641
43,0.8878264427185059,0.8601595759391785,0.9948345422744751,0.9941495060920715,0.899748682975769,0.1386447548866272,0.8910542726516724
44,0.8882156014442444,0.8601561784744263,0.9948580861091614,0.9941043853759766,0.9007223844528198,0.13839775323867798,0.8909034729003906
45,0.8887894749641418,0.8600292205810547,0.9949033260345459,0.9941717982292175,0.9012735486030579,0.13762477040290833,0.8912763595581055
46,0.889224648475647,0.8596909642219543,0.9949454069137573,0.994250476360321,0.9016538262367249,0.13691967725753784,0.8915823101997375
47,0.8896391987800598,0.8596327304840088,0.9949817061424255,0.9942784905433655,0.9020299911499023,0.1356973946094513,0.8916872143745422
48,0.8900115489959717,0.8593192100524902,0.9950090646743774,0.994357168674469,0.9025591015815735,0.13520503044128418,0.8921383023262024
49,0.8904166221618652,0.8594540357589722,0.9950345158576965,0.9943290948867798,0.9027080535888672,0.13369159400463104,0.8920403718948364
50,0.8908057808876038,0.8591886758804321,0.9950780868530273,0.9943684935569763,0.9036126732826233,0.13376429677009583,0.8924839496612549
51,0.8911553621292114,0.8589381575584412,0.9951125979423523,0.9944077730178833,0.9031949639320374,0.13161326944828033,0.8927597403526306
52,0.8915733695030212,0.8587703704833984,0.995141863822937,0.9944359064102173,0.9041114449501038,0.13182905316352844,0.8930666446685791
53,0.891930878162384,0.8585391044616699,0.9951781630516052,0.9944921135902405,0.9038336277008057,0.12992246448993683,0.8933561444282532
54,0.8922982811927795,0.8584191203117371,0.9952074289321899,0.9945089817047119,0.9051472544670105,0.1302235871553421,0.8936735987663269
55,0.8926488161087036,0.8582366108894348,0.9952418804168701,0.9945539236068726,0.9047738313674927,0.12839609384536743,0.8939532041549683
56,0.8930094838142395,0.8581441044807434,0.9952783584594727,0.9945818781852722,0.9060953855514526,0.1288272887468338,0.8941877484321594
57,0.8933275938034058,0.8579243421554565,0.99531090259552,0.9946495294570923,0.905431866645813,0.1270207315683365,0.8944982886314392
58,0.8936856389045715,0.8578758835792542,0.9953529834747314,0.9946495294570923,0.9069461822509766,0.1275026500225067,0.8946764469146729
59,0.8940079808235168,0.8576120138168335,0.9954164028167725,0.9947224855422974,0.9059502482414246,0.12574675679206848,0.895081102848053
