Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
0,0.7586895823478699,0.8289080262184143,0.973426342010498,0.9845532774925232,0.9977174997329712,0.09133674204349518,0.9776081442832947
1,0.8170903325080872,0.8390172719955444,0.9843451380729675,0.9856302738189697,0.9994286894798279,0.08965854346752167,0.9862033128738403
2,0.8263884782791138,0.8418698310852051,0.9848451018333435,0.9847404360771179,0.9996945261955261,0.08820134401321411,0.9927485585212708
3,0.8296481370925903,0.8329991102218628,0.9847116470336914,0.9845061898231506,0.999772310256958,0.0880601778626442,0.9930983185768127
4,0.8305973410606384,0.8450866937637329,0.9848569631576538,0.9849371910095215,0.9998120069503784,0.08817241340875626,0.9955661296844482
5,0.830681324005127,0.8479684591293335,0.9847235679626465,0.9850586652755737,0.9998161792755127,0.088291235268116,0.9976403713226318
6,0.8284478783607483,0.8480311036109924,0.98466557264328,0.9850308299064636,0.9998171329498291,0.08820322155952454,0.9981198906898499
7,0.8324909210205078,0.8470777273178101,0.9847630262374878,0.9849558472633362,0.9998171329498291,0.08809379488229752,0.9982768893241882
8,0.8331972360610962,0.848530650138855,0.9847661852836609,0.9850494861602783,0.9998172521591187,0.0882064551115036,0.9989044666290283
9,0.8296090960502625,0.8493826985359192,0.9845994710922241,0.9851620197296143,0.9998171329498291,0.0884227305650711,0.9984111189842224
10,0.8330069184303284,0.8494622707366943,0.9847721457481384,0.9850962162017822,0.9998172521591187,0.08828725665807724,0.9987562298774719
11,0.8336560726165771,0.8494659662246704,0.984820544719696,0.9850869178771973,0.9998172521591187,0.08828921616077423,0.9993574619293213
12,0.8283347487449646,0.8481733202934265,0.9847817420959473,0.9854708909988403,0.9998170137405396,0.08954475820064545,0.9978384971618652
13,0.8332889676094055,0.8489304780960083,0.9851177334785461,0.9850308299064636,0.9998172521591187,0.0882616862654686,0.9992287158966064
14,0.8290292620658875,0.8486129641532898,0.9845450520515442,0.985115110874176,0.9998172521591187,0.08842407166957855,0.9988036751747131
15,0.8328865766525269,0.8494647145271301,0.9847508072853088,0.985068142414093,0.9998172521591187,0.08817905187606812,0.9996239542961121
16,0.8306238055229187,0.8487890958786011,0.9847233891487122,0.9849933981895447,0.9998172521591187,0.08821271359920502,0.9989205598831177
17,0.8316590189933777,0.7794601917266846,0.9846749901771545,0.9813870191574097,0.9998159408569336,0.0866866335272789,0.9968494176864624
18,0.8287288546562195,0.8490017056465149,0.9845873117446899,0.9850401282310486,0.9998172521591187,0.08833159506320953,0.9987717866897583
19,0.8323932886123657,0.8495470881462097,0.9847024083137512,0.9853400588035583,0.9997931122779846,0.08971600979566574,0.9982312321662903
20,0.832172691822052,0.8486843109130859,0.9847085475921631,0.9851711988449097,0.9998172521591187,0.08908750861883163,0.9986332654953003
21,0.8327910304069519,0.8476932048797607,0.9848631024360657,0.9849277138710022,0.9998172521591187,0.08833286166191101,0.9993577599525452
22,0.8316622376441956,0.8504921197891235,0.9846265912055969,0.985068142414093,0.9998172521591187,0.08839661628007889,0.9995255470275879
23,0.8283823728561401,0.8479719758033752,0.9844717979431152,0.9850682616233826,0.9998171329498291,0.09023695439100266,0.9985760450363159
24,0.8331493735313416,0.8487202525138855,0.9849054217338562,0.9851338863372803,0.9998172521591187,0.0897994264960289,0.9988259077072144
25,0.832703709602356,0.8493626117706299,0.9848449230194092,0.9851338863372803,0.9998171329498291,0.08843864500522614,0.9992756247520447
26,0.8327289819717407,0.8510519862174988,0.9847055673599243,0.9852647185325623,0.9998172521591187,0.0885455533862114,0.9975954294204712
27,0.8336217999458313,0.8495997786521912,0.9848299026489258,0.9850587844848633,0.9998172521591187,0.08824460953474045,0.9992373585700989
28,0.826839029788971,0.8499863743782043,0.9843752384185791,0.9850587844848633,0.9998078346252441,0.08826958388090134,0.9992005228996277
29,0.8341178297996521,0.8494769930839539,0.9847447872161865,0.9850307106971741,0.9998172521591187,0.08821748942136765,0.9996535181999207
30,0.834408164024353,0.8495097756385803,0.9848841428756714,0.9852087497711182,0.9998172521591187,0.08860103040933609,0.9980593919754028
31,0.831082284450531,0.849941611289978,0.9845419526100159,0.9850494861602783,0.9998172521591187,0.08818168938159943,0.9997348189353943
32,0.8339452147483826,0.8500858545303345,0.9848024845123291,0.9850963354110718,0.9998172521591187,0.08859732747077942,0.9989266991615295
33,0.8306831121444702,0.8494617342948914,0.9846298098564148,0.9850494861602783,0.9998172521591187,0.08822165429592133,0.9994632005691528
34,0.8340493440628052,0.8494784832000732,0.9847267270088196,0.9850307106971741,0.9998172521591187,0.08822222799062729,0.9997708797454834
35,0.8330073356628418,0.8497631549835205,0.9846872687339783,0.9850682616233826,0.9998172521591187,0.0883394330739975,0.9993652105331421
36,0.8341233134269714,0.8499075770378113,0.9847509860992432,0.9850587844848633,0.9998172521591187,0.08814892172813416,0.9995689392089844
37,0.8342639207839966,0.8499320149421692,0.9847418665885925,0.9850587844848633,0.9998172521591187,0.0881449282169342,0.9996587038040161
38,0.8342639803886414,0.849932074546814,0.9847418665885925,0.9850587844848633,0.9998172521591187,0.08814520388841629,0.9996675848960876
39,0.8342639803886414,0.8499353528022766,0.9847418665885925,0.9850587844848633,0.9998172521591187,0.08814547955989838,0.999674916267395
